order_id,order_status,dispatch_status,datetime,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",04-08-2024 00:32
14959,Waiting Driver Response,API: Request Received,04-08-2024 00:37,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,04-08-2024 00:42,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,04-08-2024 00:42,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,04-08-2024 01:02,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,04-08-2024 01:02,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",04-08-2024 01:02
14959,Waiting Driver Response,API: Request Received,04-08-2024 01:07,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,04-08-2024 01:12,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,04-08-2024 01:12,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,04-08-2024 01:33,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,04-08-2024 01:33,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",04-08-2024 01:33
14959,Waiting Driver Response,API: Request Received,04-08-2024 01:38,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,04-08-2024 01:43,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,04-08-2024 01:43,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,04-08-2024 02:03,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,04-08-2024 02:03,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",04-08-2024 02:03
14959,Waiting Driver Response,API: Request Received,04-08-2024 02:08,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,04-08-2024 02:13,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,04-08-2024 02:13,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,04-08-2024 02:34,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,04-08-2024 02:34,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",04-08-2024 02:34
14959,Waiting Driver Response,API: Request Received,04-08-2024 02:39,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,04-08-2024 02:44,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,04-08-2024 02:44,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,04-08-2024 03:04,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,04-08-2024 03:04,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",04-08-2024 03:04
14959,Waiting Driver Response,API: Request Received,04-08-2024 03:09,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,04-08-2024 03:14,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,04-08-2024 03:14,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,04-08-2024 03:35,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,04-08-2024 03:35,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",04-08-2024 03:35
14959,Waiting Driver Response,API: Request Received,04-08-2024 03:40,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,04-08-2024 03:45,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,04-08-2024 03:45,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,04-08-2024 04:05,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,04-08-2024 04:05,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",04-08-2024 04:05
14959,Waiting Driver Response,API: Request Received,04-08-2024 04:10,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,04-08-2024 04:15,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,04-08-2024 04:15,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,04-08-2024 04:35,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,04-08-2024 04:35,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",04-08-2024 04:35
14959,Waiting Driver Response,API: Request Received,04-08-2024 04:40,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,04-08-2024 04:45,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,04-08-2024 04:45,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,04-08-2024 05:06,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,04-08-2024 05:06,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",04-08-2024 05:06
14959,Waiting Driver Response,API: Request Received,04-08-2024 05:11,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,04-08-2024 05:16,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,04-08-2024 05:16,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,04-08-2024 05:36,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,04-08-2024 05:36,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",04-08-2024 05:36
14959,Waiting Driver Response,API: Request Received,04-08-2024 05:41,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,04-08-2024 05:46,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,04-08-2024 05:46,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,04-08-2024 06:07,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,04-08-2024 06:07,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",04-08-2024 06:07
14959,Waiting Driver Response,API: Request Received,04-08-2024 06:12,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,04-08-2024 06:17,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,04-08-2024 06:17,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,04-08-2024 06:37,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,04-08-2024 06:37,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",04-08-2024 06:37
14959,Waiting Driver Response,API: Request Received,04-08-2024 06:42,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,04-08-2024 06:47,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,04-08-2024 06:47,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,04-08-2024 07:07,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,04-08-2024 07:07,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",04-08-2024 07:07
